master_relative_path,wordpress_attachment_id,filename,derivative_count,referenced_reason,status,file_exists,notes
2020/09/logo.svg,,logo.svg,0,,ORPHANED,yes,original without dimension suffix
2020/09/onix-new-black-1.png,,onix-new-black-1.png,10,,ORPHANED,yes,original without dimension suffix
2020/09/onix-new-black.png,,onix-new-black.png,0,,ORPHANED,yes,original without dimension suffix
2020/09/onix-new-red-1.png,,onix-new-red-1.png,10,,ORPHANED,yes,original without dimension suffix
2020/09/onix-new-red.png,,onix-new-red.png,0,,ORPHANED,yes,original without dimension suffix
2020/09/onix_p.png,,onix_p.png,5,,ORPHANED,yes,original without dimension suffix
2020/09/onix_plain.png,,onix_plain.png,1,,ORPHANED,yes,original without dimension suffix
2020/09/ox.png,,ox.png,1,,ORPHANED,yes,original without dimension suffix
2020/10/Accra-2.png,,Accra-2.png,8,,ORPHANED,yes,original without dimension suffix
2020/10/ONIX-BLACK.png,,ONIX-BLACK.png,0,,ORPHANED,yes,original without dimension suffix
2020/10/ONIX_B.png,,ONIX_B.png,5,,ORPHANED,yes,original without dimension suffix
2020/10/Picture-1.png,,Picture-1.png,8,,ORPHANED,yes,original without dimension suffix
2020/10/bg-pheader.jpg,,bg-pheader.jpg,0,,ORPHANED,yes,original without dimension suffix
2020/10/pexels-marian-croitoru-5607784.mp4,,pexels-marian-croitoru-5607784.mp4,0,,ORPHANED,yes,original without dimension suffix
2020/11/why-african.jpg,3391,why-african.jpg,1,article_featured_image,REQUIRED,yes,original without dimension suffix
2020/12/1.png,,1.png,1,,ORPHANED,yes,original without dimension suffix
2020/12/10.png,,10.png,2,,ORPHANED,yes,original without dimension suffix
2020/12/11.png,,11.png,2,,ORPHANED,yes,original without dimension suffix
2020/12/12.png,,12.png,2,,ORPHANED,yes,original without dimension suffix
2020/12/1280px-Vertiv_logo.svg.png,,1280px-Vertiv_logo.svg.png,7,,ORPHANED,yes,original without dimension suffix
2020/12/2.png,,2.png,1,,ORPHANED,yes,original without dimension suffix
2020/12/3.png,,3.png,1,,ORPHANED,yes,original without dimension suffix
2020/12/4.png,,4.png,1,,ORPHANED,yes,original without dimension suffix
2020/12/5.png,,5.png,1,,ORPHANED,yes,original without dimension suffix
2020/12/6.png,,6.png,1,,ORPHANED,yes,original without dimension suffix
2020/12/7.png,,7.png,1,,ORPHANED,yes,original without dimension suffix
2020/12/8.png,,8.png,1,,ORPHANED,yes,original without dimension suffix
2020/12/9.png,,9.png,2,,ORPHANED,yes,original without dimension suffix
2020/12/AIIM.png,799,AIIM.png,3,,POSSIBLY_REQUIRED,yes,original without dimension suffix
2020/12/CKR.png,,CKR.png,1,,ORPHANED,yes,original without dimension suffix
2020/12/Colocation.jpeg,,Colocation.jpeg,13,,ORPHANED,yes,original without dimension suffix
2020/12/Connectivity-serives.jpeg,,Connectivity-serives.jpeg,12,,ORPHANED,yes,original without dimension suffix
2020/12/Daikin-Logo-Transparent.gif,,Daikin-Logo-Transparent.gif,6,,ORPHANED,yes,original without dimension suffix
2020/12/ONIX-CENTER.png,,ONIX-CENTER.png,8,,ORPHANED,yes,original without dimension suffix
2020/12/Our-centre-we-aim-to-provide.jpeg,,Our-centre-we-aim-to-provide.jpeg,11,,ORPHANED,yes,original without dimension suffix
2020/12/Power-infrastructure.jpeg,,Power-infrastructure.jpeg,13,,ORPHANED,yes,original without dimension suffix
2020/12/Screenshot-2020-12-10-at-00.01.26.png,,Screenshot-2020-12-10-at-00.01.26.png,3,,ORPHANED,yes,original without dimension suffix
2020/12/Vertiv-Logo.png,,Vertiv-Logo.png,7,,ORPHANED,yes,original without dimension suffix
2020/12/What-we-do.jpeg,,What-we-do.jpeg,11,,ORPHANED,yes,original without dimension suffix
2020/12/aiim-logo-bold.png,,aiim-logo-bold.png,2,,ORPHANED,yes,original without dimension suffix
2020/12/broadband-blog.jpg,3384,broadband-blog.jpg,6,article_featured_image,REQUIRED,yes,original without dimension suffix
2020/12/carrier-neutral.jpg,3386,carrier-neutral.jpg,6,article_featured_image,REQUIRED,yes,original without dimension suffix
2020/12/challenges.jpg,3389,challenges.jpg,4,article_featured_image,REQUIRED,yes,original without dimension suffix
2020/12/connect-unconnected.jpg,3382,connect-unconnected.jpg,1,article_featured_image,REQUIRED,yes,original without dimension suffix
